title: Wind Of Change | artist: Scorpions | time: 4:44 | link: www.youtube.com/watch?v=n4RjJKxsamQ
title: Back to You | artist: Louis Tomlinson | time: 3:19 | link: www.youtube.com/watch?v=-HjpL-Ns6_A
title: You Don't Know | artist: Eminem | time: 4:25 | link: www.youtube.com/watch?v=ngH0fkiNo-g
title: Stronger | artist: Kanye West | time: 4:27 | link: www.youtube.com/watch?v=PsO6ZnUZI0g
title: One Last Time | artist: Ariana Grande | time: 4:10 | link: www.youtube.com/watch?v=BPgEgaPk62M
title: Lollipop | artist: Lil Wayne | time: 5:01 | link: www.youtube.com/watch?v=2IH8tNQAzSs
title: Bailame | artist: Nacho | time: 4:01 | link: www.youtube.com/watch?v=a1J44C-PZ3E
title: Steal My Girl | artist: One Direction | time: 5:19 | link: www.youtube.com/watch?v=UpsKGvPjAgw
title: Shut Up and Dance | artist: WALK THE MOON | time: 4:07 | link: www.youtube.com/watch?v=6JCLY0Rlx6Q
title: Pour It Up | artist: Rihanna | time: 3:17 | link: www.youtube.com/watch?v=ehcVomMexkY
title: Wake Me Up | artist: Avicii | time: 4:12 | link: www.youtube.com/watch?v=5y_KJAg8bHI
title: Mi Razón De Ser | artist: Banda Sinaloense MS de Sergio Lizárraga | time: 3:38 | link: www.youtube.com/watch?v=_WHh7gMJqV4
title: Te Voy A Amar | artist: Axel | time: 4:15 | link: www.youtube.com/watch?v=KZh60U1PqSE
title: Work B**ch | artist: Britney Spears | time: 3:55 | link: www.youtube.com/watch?v=pt8VYOfr8To
title: 1-800-273-8255 | artist: Logic | time: 7:00 | link: www.youtube.com/watch?v=Kb24RrHIbFk
title: Booty | artist: Jennifer Lopez | time: 4:17 | link: www.youtube.com/watch?v=nxtIRArhVD4
title: Who Says | artist: Selena Gomez & The Scene | time: 3:21 | link: www.youtube.com/watch?v=BzE1mX4Px0I
title: No Love | artist: August Alsina | time: 4:48 | link: www.youtube.com/watch?v=nxvm4P0jFKY
title: Sorry | artist: Justin Bieber | time: 3:19 | link: www.youtube.com/watch?v=8ELbX5CMomE
title: I Know What You Did Last Summer | artist: Shawn Mendes, Camila Cabello | time: 3:49 | link: www.youtube.com/watch?v=ngORmvyvAaI
title: Stronger | artist: Kelly Clarkson | time: 3:41 | link: www.youtube.com/watch?v=Xn676-fLq7I
title: My Nigga | artist: YG | time: 3:56 | link: www.youtube.com/watch?v=MSrTnWDTdwI
title: Domino | artist: Jessie J | time: 3:55 | link: www.youtube.com/watch?v=UJtB55MaoD0
title: Panda | artist: Desiigner | time: 4:03 | link: www.youtube.com/watch?v=E5ONTXHS2mM
title: Andalouse | artist: Kendji Girac | time: 3:24 | link: www.youtube.com/watch?v=FndmvPkI1Ms
title: Dancing Queen | artist: Abba | time: 3:52 | link: www.youtube.com/watch?v=xFrGuyw1V8s
title: Bitch I'm Madonna | artist: Madonna | time: 4:03 | link: www.youtube.com/watch?v=7hPMmzKs62w
title: This Is Love | artist: will.i.am | time: 4:57 | link: www.youtube.com/watch?v=9I9Ar6upx34
title: Everything Has Changed | artist: Taylor Swift | time: 4:12 | link: www.youtube.com/watch?v=w1oM3kQpXRo
title: Hands To Myself | artist: Selena Gomez | time: 3:48 | link: www.youtube.com/watch?v=FMlcn-_jpWY
title: Don't | artist: Bryson Tiller | time: 3:44 | link: www.youtube.com/watch?v=d7cVLE4SaN0
title: Habits | artist: Tove Lo | time: 3:29 | link: www.youtube.com/watch?v=oh2LWWORoiM
title: Bugatti | artist: Ace Hood | time: 5:05 | link: www.youtube.com/watch?v=djE-BLrdDDc
title: Back It Up | artist: Prince Royce | time: 3:48 | link: www.youtube.com/watch?v=9w9dXWU5nMI
title: Mine | artist: Taylor Swift | time: 3:56 | link: www.youtube.com/watch?v=XPBwXKgDTdE
title: Sex on Fire | artist: Kings Of Leon | time: 3:28 | link: www.youtube.com/watch?v=RF0HhrwIwp0
title: Take Care | artist: Drake | time: 4:09 | link: www.youtube.com/watch?v=-zzP29emgpg
title: Sorry | artist: Beyoncé | time: 4:26 | link: www.youtube.com/watch?v=QxsmWxxouIM
title: Obsesionado | artist: Farruko | time: 4:17 | link: www.youtube.com/watch?v=lkN51aqPOzU
title: Never Let You Go | artist: Justin Bieber | time: 4:26 | link: www.youtube.com/watch?v=3ExWsVFJlFo
title: I'm Into You | artist: Jennifer Lopez | time: 4:20 | link: www.youtube.com/watch?v=IgLcQmlN2Xg
title: I Like It | artist: Enrique Iglesias | time: 4:04 | link: www.youtube.com/watch?v=X9_n8jakvWU
title: Birthday | artist: Katy Perry | time: 3:36 | link: www.youtube.com/watch?v=jqYxyd1iSNk
title: Sunset | artist: Farruko | time: 5:16 | link: www.youtube.com/watch?v=ZBMsSPR9QMg
title: Amor del Bueno | artist: Reyli Barba | time: 4:21 | link: www.youtube.com/watch?v=FUinZg5MC5U
title: Hey DJ | artist: CNCO, Yandel | time: 4:14 | link: www.youtube.com/watch?v=X6wQOW9ihDA
title: My Way | artist: Calvin Harris | time: 4:05 | link: www.youtube.com/watch?v=b4Bj7Zb-YD4
title: What Lovers Do | artist: Maroon 5 | time: 3:34 | link: www.youtube.com/watch?v=5Wiio4KoGe8
title: 7 Things | artist: Miley Cyrus | time: 3:40 | link: www.youtube.com/watch?v=Hr0Wv5DJhuk
title: Hate That I Love You | artist: Rihanna | time: 4:58 | link: www.youtube.com/watch?v=KMOOr7GEkj8
title: Night Changes | artist: One Direction | time: 4:01 | link: www.youtube.com/watch?v=syFZfO_wfMQ
title: Where Ya At | artist: Future | time: 3:30 | link: www.youtube.com/watch?v=lw3Or6eqIpI
title: Touch | artist: Little Mix | time: 3:38 | link: www.youtube.com/watch?v=gBAfejjUQoA
title: California King Bed | artist: Rihanna | time: 4:44 | link: www.youtube.com/watch?v=nhBorPm6JjQ
title: Don't Matter | artist: Akon | time: 4:06 | link: www.youtube.com/watch?v=JWA5hJl4Dv0
title: Estoy Enamorado | artist: Wisin & Yandel | time: 5:17 | link: www.youtube.com/watch?v=whBcmlaSLJM
title: Down On Me | artist: Jeremih | time: 3:52 | link: www.youtube.com/watch?v=AaXaig_43lU
title: Confident | artist: Justin Bieber | time: 6:06 | link: www.youtube.com/watch?v=47YClVMlthI
title: Space Bound | artist: Eminem | time: 4:25 | link: www.youtube.com/watch?v=JByDbPn6A1o
title: Meet Me Halfway | artist: The Black Eyed Peas | time: 4:49 | link: www.youtube.com/watch?v=I7HahVwYpwo
title: The Bad Touch | artist: Bloodhound Gang | time: 4:05 | link: www.youtube.com/watch?v=xat1GVnl8-k
title: #thatPOWER | artist: will.i.am | time: 4:53 | link: www.youtube.com/watch?v=DGIgXP9SvB8
title: Little Talks | artist: Of Monsters And Men | time: 4:15 | link: www.youtube.com/watch?v=ghb6eDopW8I
title: Big Girls Cry | artist: Sia | time: 3:37 | link: www.youtube.com/watch?v=4NhKWZpkw1Q
title: Sweet Nothing | artist: Calvin Harris | time: 4:29 | link: www.youtube.com/watch?v=17ozSeGw-fY
title: Sorry, Blame It On Me | artist: Akon | time: 5:20 | link: www.youtube.com/watch?v=ynMk2EwRi4Q
title: Lolly | artist: Maejor Ali | time: 3:44 | link: www.youtube.com/watch?v=BiOmXeKyrxo
title: Feelin' Myself | artist: will.i.am | time: 4:11 | link: www.youtube.com/watch?v=VRuoR--LdqQ
title: Girl On Fire | artist: Alicia Keys | time: 3:53 | link: www.youtube.com/watch?v=J91ti_MpdHA
title: La Diabla/Mi Santa | artist: Romeo Santos | time: 5:52 | link: www.youtube.com/watch?v=Hz9lhqxl_gQ
title: I Could Be The One | artist: Avicii vs Nicky Romero | time: 4:46 | link: www.youtube.com/watch?v=bek1y2uiQGA
title: Valio La Pena | artist: Marc Anthony | time: 4:53 | link: www.youtube.com/watch?v=Ns9YYSqLxyI
title: Need You Now | artist: Lady Antebellum | time: 4:30 | link: www.youtube.com/watch?v=eM213aMKTHg
title: Drop The World | artist: Lil Wayne | time: 4:26 | link: www.youtube.com/watch?v=ErCAOMi5EGM
title: Est-ce que tu m'aimes ? | artist: Maître Gims | time: 4:02 | link: www.youtube.com/watch?v=6TpyRE_juyA
title: Turn Up the Music | artist: Chris Brown | time: 4:18 | link: www.youtube.com/watch?v=eQWG8BVeryU
title: Zumba Campaign Video | artist: Don Omar | time: 3:55 | link: www.youtube.com/watch?v=8HpG0l9cLos
title: On My Mind | artist: Ellie Goulding | time: 4:05 | link: www.youtube.com/watch?v=H202k7KfZL0
title: Skyscraper | artist: Demi Lovato | time: 4:06 | link: www.youtube.com/watch?v=r_8ydghbGSg
title: Next To You | artist: Chris Brown | time: 6:04 | link: www.youtube.com/watch?v=EEuQU6a90Pc
title: M.I.L.F. $ | artist: Fergie | time: 3:41 | link: www.youtube.com/watch?v=bsUWK-fixiA
title: Want U Back | artist: Cher Lloyd | time: 3:36 | link: www.youtube.com/watch?v=LPgvNlrBfb0
title: Dámaso | artist: Gerardo Ortiz | time: 3:21 | link: www.youtube.com/watch?v=E0CcSVHQSDU
title: Hey Baby | artist: Pitbull | time: 3:25 | link: www.youtube.com/watch?v=LefQdEMJP1I
title: Yeah 3x | artist: Chris Brown | time: 4:17 | link: www.youtube.com/watch?v=3mC2ixOAivA
title: I Wanna Go | artist: Britney Spears | time: 4:34 | link: www.youtube.com/watch?v=T-sxSd1uwoU
title: A Quién Quiero Mentirle | artist: Marc Anthony | time: 5:09 | link: www.youtube.com/watch?v=GeApuPcMVeQ
title: Confident | artist: Demi Lovato | time: 3:35 | link: www.youtube.com/watch?v=cwLRQn61oUY
title: Love Me | artist: Lil Wayne | time: 4:25 | link: www.youtube.com/watch?v=KY44zvhWhp4
title: Goin' In | artist: Jennifer Lopez | time: 4:09 | link: www.youtube.com/watch?v=z5W7DVFKrcs
title: Dirty Money - Coming Home | artist: Diddy | time: 4:11 | link: www.youtube.com/watch?v=k-ImCpNqbJw
title: La Curiosidad | artist: Maluma | time: 3:53 | link: www.youtube.com/watch?v=9t7eMteW-Tc
title: La Gloria de Dios | artist: Ricardo Montaner | time: 6:09 | link: www.youtube.com/watch?v=LRsgqFu5c1o
title: Bad Things | artist: Machine Gun Kelly, Camila Cabello | time: 4:39 | link: www.youtube.com/watch?v=QpbQ4I3Eidg
title: Kiss Kiss | artist: Chris Brown | time: 4:17 | link: www.youtube.com/watch?v=eNII9PDlFJ0
title: Russian Roulette | artist: Rihanna | time: 4:24 | link: www.youtube.com/watch?v=ZQ2nCGawrSY
title: Born This Way | artist: Lady Gaga | time: 7:20 | link: www.youtube.com/watch?v=wV1FrqwZyKw
title: Rabiosa | artist: Shakira | time: 2:51 | link: www.youtube.com/watch?v=a5irTX82olg
title: Addicted To You | artist: Avicii | time: 3:24 | link: www.youtube.com/watch?v=Qc9c12q3mrc
title: Shots | artist: LMFAO | time: 4:14 | link: www.youtube.com/watch?v=XNtTEibFvlQ
title: DJ Got Us Fallin' In Love | artist: Usher | time: 4:07 | link: www.youtube.com/watch?v=C-dvTjK_07c
title: Blue Jeans | artist: Lana Del Rey | time: 4:21 | link: www.youtube.com/watch?v=JRWox-i6aAk
title: Champagne Showers | artist: LMFAO | time: 6:42 | link: www.youtube.com/watch?v=UA8rcLvS1BY
title: Promise | artist: Romeo Santos | time: 5:32 | link: www.youtube.com/watch?v=Y3XyWhrZnqE
title: A Year Without Rain | artist: Selena Gomez & The Scene | time: 3:29 | link: www.youtube.com/watch?v=M8uPvX2te0I
title: Love Myself | artist: Hailee Steinfeld | time: 4:01 | link: www.youtube.com/watch?v=bMpFmHSgC4Q
title: Live It Up | artist: Jennifer Lopez | time: 4:31 | link: www.youtube.com/watch?v=BofL1AaiTjo
title: About The Money | artist: T.I. | time: 4:31 | link: www.youtube.com/watch?v=etfIdtm-OC8
title: BO$$ | artist: Fifth Harmony | time: 3:05 | link: www.youtube.com/watch?v=Y4JfPlry-iQ
title: O Nosso Santo Bateu – Na Praia Ao Vivo | artist: Matheus & Kauan | time: 2:38 | link: www.youtube.com/watch?v=kbCtpDwVCLQ
title: Just Can't Get Enough | artist: The Black Eyed Peas | time: 3:56 | link: www.youtube.com/watch?v=OrTyD7rjBpw
title: Clarity | artist: Zedd | time: 4:36 | link: www.youtube.com/watch?v=IxxstCcJlsc
title: My Love | artist: Route 94 | time: 3:11 | link: www.youtube.com/watch?v=BS46C2z5lVE
title: I Really Like You | artist: Carly Rae Jepsen | time: 3:29 | link: www.youtube.com/watch?v=qV5lzRHrGeg
title: Uncover | artist: Zara Larsson | time: 3:38 | link: www.youtube.com/watch?v=U-PXEe-qeK4
title: What Now | artist: Rihanna | time: 4:09 | link: www.youtube.com/watch?v=b-3BI9AspYc
title: Si No Te Quisiera | artist: Juan Magan | time: 4:24 | link: www.youtube.com/watch?v=XoNCV9BsU9c
title: Bed Rock | artist: Young Money | time: 4:52 | link: www.youtube.com/watch?v=Ha80ZaecGkQ
title: Blessings | artist: Big Sean | time: 5:12 | link: www.youtube.com/watch?v=M6t47RI4bns
title: Berzerk | artist: Eminem | time: 4:20 | link: www.youtube.com/watch?v=ab9176Srb5Y
title: Show Me | artist: Kid Ink | time: 4:12 | link: www.youtube.com/watch?v=xKkb13IU_DE
title: Me Sobrabas Tú | artist: Banda Los Recoditos | time: 3:30 | link: www.youtube.com/watch?v=0sXd26YTnNc
title: Pound The Alarm | artist: Nicki Minaj | time: 4:14 | link: www.youtube.com/watch?v=vdrqA93sW-8
title: Ni**as In Paris | artist: Jay-Z & Kanye West | time: 4:12 | link: www.youtube.com/watch?v=gG_dA32oH44
title: Contigo | artist: Calibre 50 | time: 3:45 | link: www.youtube.com/watch?v=oeeNs3KInbc
title: Close | artist: Nick Jonas | time: 3:58 | link: www.youtube.com/watch?v=XgJFqVvb2Ws
title: The Way I Are | artist: Timbaland | time: 3:34 | link: www.youtube.com/watch?v=U5rLz5AZBIA
title: Starving | artist: Hailee Steinfeld, Grey | time: 3:05 | link: www.youtube.com/watch?v=xwjwCFZpdns
title: Suíte 14 | artist: Henrique & Diego | time: 3:00 | link: www.youtube.com/watch?v=gmvFLIuVAbA
title: Teenage Dream | artist: Katy Perry | time: 3:50 | link: www.youtube.com/watch?v=98WtmW-lfeE
title: Down | artist: Jay Sean | time: 3:44 | link: www.youtube.com/watch?v=oUbpGmR1-QM
title: Gotta Be You | artist: One Direction | time: 3:56 | link: www.youtube.com/watch?v=nvfejaHz-o0
title: Sabado Rebelde | artist: Daddy Yankee | time: 4:04 | link: www.youtube.com/watch?v=0nPkXDrL2ZU
title: Pretty Hurts | artist: Beyoncé | time: 7:05 | link: www.youtube.com/watch?v=LXXQLa-5n5w
title: …Ready For It? | artist: Taylor Swift | time: 3:31 | link: www.youtube.com/watch?v=wIft-t-MQuE
title: Neon Lights | artist: Demi Lovato | time: 3:59 | link: www.youtube.com/watch?v=v9uDwppN5-w
title: Love Never Felt So Good | artist: Michael Jackson, Justin Timberlake | time: 4:08 | link: www.youtube.com/watch?v=oG08ukJPtR8
title: Ridin' | artist: Chamillionaire | time: 4:04 | link: www.youtube.com/watch?v=CtwJvgPJ9xw
title: Addicted to You | artist: Shakira | time: 2:35 | link: www.youtube.com/watch?v=MntbN1DdEP0
title: Moment 4 Life | artist: Nicki Minaj | time: 6:11 | link: www.youtube.com/watch?v=D7GW8TYCEG4
title: Under Control | artist: Calvin Harris & Alesso | time: 3:31 | link: www.youtube.com/watch?v=yZqmarGShxg
title: Como Antes | artist: Yandel | time: 3:36 | link: www.youtube.com/watch?v=QeaumjX9DNY
title: You Da One | artist: Rihanna | time: 3:29 | link: www.youtube.com/watch?v=b3HeLs8Yosw
title: Stan | artist: Eminem | time: 8:10 | link: www.youtube.com/watch?v=gOMhN-hfMtY
title: Forever | artist: Chris Brown | time: 4:38 | link: www.youtube.com/watch?v=5sMKX22BHeE
title: Alguien Robó | artist: Sebastián Yatra | time: 3:47 | link: www.youtube.com/watch?v=EH0Wg8SaITQ
title: Just Like Fire | artist: P!nk | time: 3:53 | link: www.youtube.com/watch?v=5Nrv5teMc9Y
title: Beneath Your Beautiful | artist: Labrinth | time: 4:28 | link: www.youtube.com/watch?v=bqIxCtEveG8
title: Apologize | artist: Timbaland | time: 3:09 | link: www.youtube.com/watch?v=ZSM3w1v-A_Y
title: One In A Million | artist: Ne-Yo | time: 4:37 | link: www.youtube.com/watch?v=6tpl9LtkRRw
title: Feel So Close | artist: Calvin Harris | time: 4:07 | link: www.youtube.com/watch?v=dGghkjpNCQ8
title: De Que Me Sirve la Vida | artist: Camila | time: 5:51 | link: www.youtube.com/watch?v=3YhoejhnW8w
title: No Air | artist: Jordin Sparks, Chris Brown | time: 4:48 | link: www.youtube.com/watch?v=WBKnpyoFEBo
title: Don't Wake Me Up | artist: Chris Brown | time: 3:46 | link: www.youtube.com/watch?v=QOowQeKyNkQ
title: Bon, Bon | artist: Pitbull | time: 3:37 | link: www.youtube.com/watch?v=9O72RLP5fF4
title: Addicted | artist: Maluma | time: 3:29 | link: www.youtube.com/watch?v=pMIHC_cItd4
title: Beautiful | artist: Akon | time: 3:50 | link: www.youtube.com/watch?v=rSOzN0eihsE
title: Really Don't Care | artist: Demi Lovato | time: 3:48 | link: www.youtube.com/watch?v=OJGUbwVMBeA
title: Rival | artist: Romeo Santos | time: 4:38 | link: www.youtube.com/watch?v=6vMhhBRj-2Q
title: Type of Way | artist: Rich Homie Quan | time: 4:34 | link: www.youtube.com/watch?v=-KKbdErJkiY
title: Time Of Our Lives | artist: Pitbull, Ne-Yo | time: 4:42 | link: www.youtube.com/watch?v=bTXJQ5ql5Fw
title: Sweet Lovin' | artist: Sigala | time: 3:35 | link: www.youtube.com/watch?v=qj5zT4t7S6c
title: I Hate Everything About You | artist: Three Days Grace | time: 3:40 | link: www.youtube.com/watch?v=d8ekz_CSBVg
title: I Miss You | artist: blink-182 | time: 3:50 | link: www.youtube.com/watch?v=s1tAYmMjLdY
title: Candyman | artist: Christina Aguilera | time: 3:17 | link: www.youtube.com/watch?v=-ScjucUV8v0
title: Te Siento | artist: Wisin & Yandel | time: 4:19 | link: www.youtube.com/watch?v=SKWxOsbt9gU
title: All That Matters | artist: Justin Bieber | time: 3:41 | link: www.youtube.com/watch?v=JC2yu2a9sHk
title: Fireball | artist: Pitbull | time: 4:02 | link: www.youtube.com/watch?v=HMqgVXSvwGo
title: Stay The Night | artist: Zedd | time: 3:37 | link: www.youtube.com/watch?v=i-gyZ35074k
title: When I Grow Up | artist: The Pussycat Dolls | time: 4:05 | link: www.youtube.com/watch?v=K0K46C82v9o
title: All Of The Lights | artist: Kanye West | time: 5:28 | link: www.youtube.com/watch?v=HAfFfqiYLp0
title: King | artist: Years & Years | time: 3:55 | link: www.youtube.com/watch?v=g_uoH6hJilc
title: Ayo | artist: Chris Brown, Tyga | time: 6:01 | link: www.youtube.com/watch?v=zKCrSN9oXgQ
title: Pills N Potions | artist: Nicki Minaj | time: 4:34 | link: www.youtube.com/watch?v=f7ld-3nZUxA
title: My Life | artist: The Game | time: 4:59 | link: www.youtube.com/watch?v=udxZ9zkDzpo
title: No Te Creas Tan Importante | artist: El Bebeto | time: 3:35 | link: www.youtube.com/watch?v=nMv2PeG-2mc
title: Written In The Stars | artist: Tinie Tempah | time: 3:37 | link: www.youtube.com/watch?v=YgFyi74DVjc
title: Knock You Down | artist: Keri Hilson | time: 4:46 | link: www.youtube.com/watch?v=p_RqWocthcc
title: Kiss Me Thru The Phone | artist: Soulja Boy Tell'em | time: 3:16 | link: www.youtube.com/watch?v=47Fbo4kU2AU
title: Wings | artist: Little Mix | time: 3:40 | link: www.youtube.com/watch?v=cOQDsmEqVt8
title: Smile | artist: Avril Lavigne | time: 3:36 | link: www.youtube.com/watch?v=KagvExF-ijc
title: Can't Be Tamed | artist: Miley Cyrus | time: 3:50 | link: www.youtube.com/watch?v=sjSG6z_13-Q
title: Mmm Yeah | artist: Austin Mahone | time: 4:22 | link: www.youtube.com/watch?v=MMAppa1cAVo
title: J'me tire | artist: Maître Gims | time: 4:22 | link: www.youtube.com/watch?v=F_rEHfLgdcY
title: Back To December | artist: Taylor Swift | time: 5:05 | link: www.youtube.com/watch?v=QUwxKWT6m7U
title: Fun | artist: Pitbull | time: 4:02 | link: www.youtube.com/watch?v=jKbR7u8J5PU
title: Your Body | artist: Christina Aguilera | time: 4:41 | link: www.youtube.com/watch?v=6cfCgLgiFDM
title: Desde Esa Noche | artist: Thalía | time: 4:22 | link: www.youtube.com/watch?v=CkyBXdXkMr8
title: Tell Me Something I Don't Know | artist: Selena Gomez | time: 3:20 | link: www.youtube.com/watch?v=_RRyniZG0Jo
title: Like A G6 | artist: Far East Movement | time: 3:46 | link: www.youtube.com/watch?v=w4s6H4ku6ZY
title: Till The World Ends | artist: Britney Spears | time: 3:57 | link: www.youtube.com/watch?v=qzU9OrZlKb8
title: Say Ok | artist: Vanessa Hudgens | time: 3:40 | link: www.youtube.com/watch?v=F5VvvVxuKko
title: The Boys | artist: Nicki Minaj, Cassie | time: 4:48 | link: www.youtube.com/watch?v=kXFcr6oy5dk
title: Raise Your Glass | artist: P!nk | time: 3:23 | link: www.youtube.com/watch?v=XjVNlG5cZyQ
title: Like A Boy | artist: Ciara | time: 3:58 | link: www.youtube.com/watch?v=_HKH7Emy1SY
title: Diva | artist: Beyoncé | time: 4:07 | link: www.youtube.com/watch?v=rNM5HW13_O8
title: Popular Song | artist: MIKA | time: 3:27 | link: www.youtube.com/watch?v=nmcdLOjGVzw
title: So Sick | artist: Ne-Yo | time: 3:32 | link: www.youtube.com/watch?v=IxszlJppRQI
title: Perdido En Tus Ojos | artist: Don Omar | time: 3:57 | link: www.youtube.com/watch?v=6GyqS-BtmRw
title: Partition | artist: Beyoncé | time: 3:50 | link: www.youtube.com/watch?v=pZ12_E5R3qc
title: Dynamite | artist: Taio Cruz | time: 4:10 | link: www.youtube.com/watch?v=VUjdiDeJ0xg
title: Bleeding Love | artist: Leona Lewis | time: 4:39 | link: www.youtube.com/watch?v=Vzo-EL_62fQ
title: Reminder | artist: The Weeknd | time: 3:51 | link: www.youtube.com/watch?v=JZjAg6fK-BQ
title: Pretty Girls | artist: Britney Spears, Iggy Azalea | time: 4:32 | link: www.youtube.com/watch?v=uV2uebhnqOw
title: Beez In The Trap | artist: Nicki Minaj | time: 4:41 | link: www.youtube.com/watch?v=EmZvOhHF85I
title: Team | artist: Lorde | time: 3:21 | link: www.youtube.com/watch?v=f2JuxM-snGc
title: Love More | artist: Chris Brown | time: 4:15 | link: www.youtube.com/watch?v=Tff2oE31Mlw
title: Move | artist: Little Mix | time: 3:44 | link: www.youtube.com/watch?v=RwD4eJGxPc4
title: Ready or Not | artist: Bridgit Mendler | time: 3:29 | link: www.youtube.com/watch?v=dPKG1-3LXBs
title: Pursuit Of Happiness | artist: Kid Cudi | time: 4:57 | link: www.youtube.com/watch?v=7xzU9Qqdqww
title: Here's to Never Growing Up | artist: Avril Lavigne | time: 3:45 | link: www.youtube.com/watch?v=sXd2WxoOP5g
title: Replay | artist: Zendaya | time: 4:01 | link: www.youtube.com/watch?v=cyLE48i4XY0
title: Hurt | artist: Christina Aguilera | time: 4:32 | link: www.youtube.com/watch?v=wwCykGDEp7M
title: Ride | artist: Ciara | time: 4:39 | link: www.youtube.com/watch?v=Lp6W4aK1sbs
title: Our Song | artist: Taylor Swift | time: 3:23 | link: www.youtube.com/watch?v=Jb2stN7kH28
title: Bumpy Ride | artist: Mohombi | time: 4:00 | link: www.youtube.com/watch?v=G2RCCDSBEGk
title: What Do You Mean? | artist: Justin Bieber | time: 3:26 | link: www.youtube.com/watch?v=NywWB67Z7zQ
title: Ahora Quien | artist: Marc Anthony | time: 5:12 | link: www.youtube.com/watch?v=toLrTToaN0M
title: High School | artist: Nicki Minaj | time: 4:07 | link: www.youtube.com/watch?v=RnpyRe_7jZA
title: Bleeding Love | artist: Leona Lewis | time: 4:23 | link: www.youtube.com/watch?v=7_weSk0BonM
title: Made in the USA | artist: Demi Lovato | time: 4:45 | link: www.youtube.com/watch?v=z3zdIHDTbg0
title: My Name Is | artist: Eminem | time: 4:08 | link: www.youtube.com/watch?v=sNPnbI1arSE
title: Break Your Heart | artist: Taio Cruz | time: 3:20 | link: www.youtube.com/watch?v=y_SI2EDM6Lo
title: Twerk It Like Miley - Produced by Hedegaard | artist: Brandon Beal | time: 3:26 | link: www.youtube.com/watch?v=PLE57UZievU
title: Don't Stop The Party | artist: The Black Eyed Peas | time: 6:19 | link: www.youtube.com/watch?v=u9LH_y159sg
title: If I Die Young | artist: The Band Perry | time: 3:50 | link: www.youtube.com/watch?v=7NJqUN9TClM
title: Somebody | artist: Natalie La Rose | time: 3:20 | link: www.youtube.com/watch?v=8zqdo_Umd5c
title: Hit The Lights | artist: Selena Gomez & The Scene | time: 3:24 | link: www.youtube.com/watch?v=8c2ahBlTPz0
title: Baby I | artist: Ariana Grande | time: 3:24 | link: www.youtube.com/watch?v=bJuWlMFToNo
title: LOYALTY. | artist: Kendrick Lamar | time: 4:00 | link: www.youtube.com/watch?v=Dlh-dzB2U4Y
title: Sweet Dreams | artist: Beyoncé | time: 4:02 | link: www.youtube.com/watch?v=JlxByc0-V40
title: I Wanna Love You | artist: Akon | time: 4:16 | link: www.youtube.com/watch?v=GJzF7H2e3Tw
title: Don't Judge Me | artist: Chris Brown | time: 4:52 | link: www.youtube.com/watch?v=z29nI8RQV0U
title: Impossible | artist: Shontelle | time: 4:17 | link: www.youtube.com/watch?v=NWdrO4BoCu8
title: U Smile | artist: Justin Bieber | time: 4:41 | link: www.youtube.com/watch?v=r2ozuCXpVJY
title: Adore You | artist: Miley Cyrus | time: 4:38 | link: www.youtube.com/watch?v=W1tzURKYFNs
title: Heartless | artist: Kanye West | time: 3:41 | link: www.youtube.com/watch?v=Co0tTeuUVhU
title: 2 On | artist: Tinashe | time: 3:51 | link: www.youtube.com/watch?v=-s7TCuCpB5c
title: Who Owns My Heart | artist: Miley Cyrus | time: 3:41 | link: www.youtube.com/watch?v=iVbQxC2c3-8
title: Glad You Came | artist: The Wanted | time: 3:23 | link: www.youtube.com/watch?v=2ggzxInyzVE
title: Troublemaker | artist: Olly Murs | time: 3:05 | link: www.youtube.com/watch?v=4aQDOUbErNg
title: Right There | artist: Nicole Scherzinger | time: 4:19 | link: www.youtube.com/watch?v=t-vTaktsUSw
title: 'Sweat' Snoop Dogg vs David Guetta | artist: Snoop Dogg | time: 3:16 | link: www.youtube.com/watch?v=KnEXrbAQyIo
title: OMG | artist: Usher | time: 4:42 | link: www.youtube.com/watch?v=1RnPB76mjxI
title: Circus | artist: Britney Spears | time: 3:34 | link: www.youtube.com/watch?v=lVhJ_A8XUgc
title: Lights | artist: Ellie Goulding | time: 3:41 | link: www.youtube.com/watch?v=0NKUpo_xKyQ
title: How To Love | artist: Lil Wayne | time: 5:22 | link: www.youtube.com/watch?v=y8Gf4-eT3w0
title: Drive By | artist: Train | time: 3:29 | link: www.youtube.com/watch?v=oxqnFJ3lp5k
title: LoveGame | artist: Lady Gaga | time: 3:38 | link: www.youtube.com/watch?v=1mB0tP1I-14
title: Here | artist: Alessia Cara | time: 3:30 | link: www.youtube.com/watch?v=UKp2CrfmVfw
title: What About Love | artist: Austin Mahone | time: 3:55 | link: www.youtube.com/watch?v=2PEG82Udb90
title: Hey Brother | artist: Avicii | time: 4:23 | link: www.youtube.com/watch?v=6Cp6mKbRTQY
title: Good Life | artist: OneRepublic | time: 4:09 | link: www.youtube.com/watch?v=jZhQOvvV45w
title: Survival | artist: Eminem | time: 4:32 | link: www.youtube.com/watch?v=NlmezywdxPI
title: Easy Love | artist: Sigala | time: 2:58 | link: www.youtube.com/watch?v=ozx898ADTxM
title: La Noche De Los Dos | artist: Daddy Yankee | time: 3:47 | link: www.youtube.com/watch?v=GDBaeQ5JPuU
